333: "Reactivity temperature coefficient"
334: "Reactor containment"
335: "Reactor control"
336: "Reactor control and safety system"
337: "Reactor poisoning"
338: "Reactor start-up"
339: "Reactor vessel"
340: "Redundancy"
341: "Reflector"
342: "Regulatory authority"
343: "Rem"
344: "Repeated forced circulation circuit"
345: "Research reactor"
346: "RISI"
347: "Roentgen"
348: "RW"
349: "Safety systems"
350: "Scram"
351: "Sealed source"
[352 … 451]
352: "Secondary nuclear fuel"
353: "SFT"
354: "Shield"
355: "Sievert"
356: "SIP"
357: "SKI"
358: "Slow neutrons"
359: "Somatic radiation effects"
360: "Source"
361: "Source material"
362: "Special nuclear material"
363: "Specific burnup"
364: "Spent fuel"
365: "Spent fuel reprocessing"
366: "Spent fuel reprocessing plant"
367: "SRIMS"
368: "SRW"
369: "Steam generator"
370: "Storage facility"
371: "Subcritical assembly"
372: "Tacis"
373: "Tank reactor"
374: "Thermal neutrons"
375: "Thermal reactor"
376: "Thorium"
377: "Thorium-232"
378: "Threshold dose"
379: "TPP"
380: "Transmutation"
381: "Transuranium elements"
382: "Transuranium wastes"
383: "Tritium"
384: "TS"
385: "Turbine"
386: "Turbogenerator"
387: "UEME"
388: "Ultimate design - basis accident"
389: "Underground disposal"
390: "Unsealed source"
391: "Unthreshold dose conception"
392: "Uranium"
393: "Uranium carbides"
394: "Uranium concentrate"
395: "Uranium conversion"
396: "Uranium dioxide"
397: "Uranium hexafluoride"
398: "Uranium mine"
399: "Uranium ore"
400: "Uranium ore chemical processing"
401: "Uranium ore processing"
402: "Uranium oxide fuel"
403: "Uranium-233"
404: "Uranium-235"
405: "Uranium-238"
406: "VAT"
407: "VNIINM"
408: "VNIITF"
409: "WME"
410: "WMEC"
411: "WWER"
412: "Zircaloy"
413: "Zirconium"
414: "Аварийная заявка"
415: "Аварийная остановка реактора"
416: "Аварийная ситуация"
417: "Авария"
418: "Авария в пределах АЭС"
419: "Авария радиационная"
420: "Авария радиационная проектная"
421: "Авария с риском для окружающей среды"
422: "Авария ядерная"
423: "Автоблокировка"
424: "Автогамма-радиометр"
425: "Автоматическая система управления АЭС"
426: "Агентство по атомной энергии, Международное"
427: "АЗ"
428: "Активная зона"
429: "Активное устройство"
430: "Активность"
431: "Актиниды"
432: "Альфа-излучение"
433: "Альфа-спектрометр"
434: "Альфа-частица"
435: "Альфа-чаша"
436: "Алюминий"
437: "Америций"
438: "Ампер"
439: "Аннигиляция"
440: "Аномалия"
441: "Античастица"
442: "АПН"
443: "Аппликатор"
444: "Арматура"
445: "АСУТП"
446: "Атом"
447: "Атомная масса"
448: "Атомная станция"
449: "Атомная станция теплоснабжения"
450: "Атомная теплоэлектроцентраль"
451: "Атомная электростанция"
[452 … 551]
452: "Атомная энергетика"
453: "Атомное ядро"
454: "Атомный номер"
455: "Атомоход"
456: "Аффинаж"
457: "Аэрогамма-поиск"
458: "Аэрозоль"
459: "Аэрозоль радиоактивный"
460: "БАЗ"
461: "Базовый режим работы АЭС"
462: "Баланс нейтронов"
463: "Баланс реактивности"
464: "Барабан-сепаратор"
465: "Барботер"
466: "Барьеры безопасности"
467: "Бассейн-барботёр"
468: "Бассейн-хранилище"
469: "Батарея ядерная"
470: "Безопасность АЭС"
471: "Беккерель"
472: "Бериллизация"
473: "Бериллий"
474: "Бета-авторадиография"
475: "Бета-дефектоскопия"
476: "Бета-излучение"
477: "Бета-источник"
478: "Бета-радиоактивность"
479: "Бета-распад"
480: "Бета-спектр"
481: "Бета-спектрометр"
482: "Бета-спектроскопия"
483: "Бета-съемка"
484: "Бетатрон"
485: "Бета-частица"
486: "БЗВ"
487: "Биологическая защита"
488: "Битуматор"
489: "Битумирование радиоактивных отходов"
490: "Бланкет"
491: "Блок АЭС"
492: "Блокировка"
493: "Блок-эффект"
494: "Блок-ячейка"
495: "БН"
496: "Бокс"
497: "Борное регулирование"
498: "БПВ"
499: "Бридер"
500: "БРОУ-Д"
501: "БРОУ-К"
